,Protein,Number_of_detected_peptides
700,CF132_HUMAN,11
701,CHD3_HUMAN,11
702,CHIP_HUMAN,11
703,CRTC1_HUMAN,11
704,CTGE5_HUMAN,11
705,CTRO_HUMAN,11
706,DDX54_HUMAN,11
707,DGKZ_HUMAN,11
708,DPYL3_HUMAN,11
709,E41L5_HUMAN,11
710,EF2K_HUMAN,11
711,EFTU_HUMAN,11
712,EMAL4_HUMAN,11
713,EMD_HUMAN,11
714,EPS15_HUMAN,11
715,F102B_HUMAN,11
716,FA53C_HUMAN,11
717,FGD1_HUMAN,11
718,GLU2B_HUMAN,11
719,GPTC2_HUMAN,11
720,GPTC4_HUMAN,11
721,HJURP_HUMAN,11
722,HNRH2_HUMAN,11
723,HNRPF_HUMAN,11
724,IF4A1_HUMAN,11
725,IPP2_HUMAN,11
726,KAT7_HUMAN,11
727,KI18B_HUMAN,11
728,KMT2B_HUMAN,11
729,LDB1_HUMAN,11
730,LYRIC_HUMAN,11
731,MAP7_HUMAN,11
732,MCM6_HUMAN,11
733,MISP_HUMAN,11
734,NDKA_HUMAN,11
735,NSF1C_HUMAN,11
736,NUP53_HUMAN,11
737,OSTP_HUMAN,11
738,OTUD5_HUMAN,11
739,P66B_HUMAN,11
740,PCDH1_HUMAN,11
741,PCF11_HUMAN,11
742,PCNA_HUMAN,11
743,PEBP1_HUMAN,11
744,PHF6_HUMAN,11
745,PI4KB_HUMAN,11
746,PKHA7_HUMAN,11
747,PKP4_HUMAN,11
748,PLCH1_HUMAN,11
749,PO210_HUMAN,11
750,PRR12_HUMAN,11
751,PTN6_HUMAN,11
752,PUM2_HUMAN,11
753,PUR9_HUMAN,11
754,PVRL1_HUMAN,11
755,RAN_HUMAN,11
756,RBL2_HUMAN,11
757,RBM6_HUMAN,11
758,RCC2_HUMAN,11
759,RD23B_HUMAN,11
760,RFC1_HUMAN,11
761,RGPA1_HUMAN,11
762,RHG15_HUMAN,11
763,RING1_HUMAN,11
764,RL7_HUMAN,11
765,RU17_HUMAN,11
766,S4A7_HUMAN,11
767,SCML2_HUMAN,11
768,SENP3_HUMAN,11
769,SEPT2_HUMAN,11
770,SF3A1_HUMAN,11
771,SMAP_HUMAN,11
772,SMCA2_HUMAN,11
773,SMTN_HUMAN,11
774,SNTB1_HUMAN,11
775,SNTB2_HUMAN,11
776,SRRT_HUMAN,11
777,SRSF3_HUMAN,11
778,STRN_HUMAN,11
779,TANC2_HUMAN,11
780,TBA1C_HUMAN,11
781,TCTP_HUMAN,11
782,TISD_HUMAN,11
783,TLK1_HUMAN,11
784,TMF1_HUMAN,11
785,UBE4B_HUMAN,11
786,UBR4_HUMAN,11
787,XRCC5_HUMAN,11
788,ZN185_HUMAN,11
789,ZRAB2_HUMAN,11
790,1433G_HUMAN,10
791,1433T_HUMAN,10
792,ABI1_HUMAN,10
793,ABI2_HUMAN,10
794,ACACA_HUMAN,10
795,ADDG_HUMAN,10
796,AKT1_HUMAN,10
797,AN32A_HUMAN,10
798,ANXA5_HUMAN,10
799,ASXL2_HUMAN,10
800,ATG2B_HUMAN,10
801,B3A2_HUMAN,10
802,BIG2_HUMAN,10
803,BORG5_HUMAN,10
804,BRE1A_HUMAN,10
805,C1TC_HUMAN,10
806,CASC5_HUMAN,10
807,CCD43_HUMAN,10
808,CCD61_HUMAN,10
809,CCNK_HUMAN,10
